zipcode,city,county,year,count_lightning
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2004,4
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2005,44
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2006,1
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2008,3
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2010,6
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2011,4
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2012,16
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2014,4
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2015,20
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2016,3
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2017,3
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2018,1
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2020,1
90049,Los Angeles city,Los Angeles County,1987,4
90049,Los Angeles city,Los Angeles County,1990,3
90049,Los Angeles city,Los Angeles County,1991,6
90049,Los Angeles city,Los Angeles County,1992,1
90049,Los Angeles city,Los Angeles County,1993,1
90049,Los Angeles city,Los Angeles County,1994,3
90049,Los Angeles city,Los Angeles County,1995,1
90049,Los Angeles city,Los Angeles County,1996,1
90049,Los Angeles city,Los Angeles County,1997,1
90049,Los Angeles city,Los Angeles County,1998,1
90049,Los Angeles city,Los Angeles County,1999,1
90049,Los Angeles city,Los Angeles County,2000,8
90049,Los Angeles city,Los Angeles County,2003,1
90049,Los Angeles city,Los Angeles County,2004,1
90049,Los Angeles city,Los Angeles County,2005,16
90049,Los Angeles city,Los Angeles County,2006,3
90049,Los Angeles city,Los Angeles County,2007,4
90049,Los Angeles city,Los Angeles County,2010,1
90049,Los Angeles city,Los Angeles County,2011,8
90049,Los Angeles city,Los Angeles County,2012,1
90049,Los Angeles city,Los Angeles County,2015,3
90049,Los Angeles city,Los Angeles County,2016,2
90049,Los Angeles city,Los Angeles County,2018,11
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1987,4
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1988,1
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1990,1
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1991,1
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1992,10
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1993,7
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1994,4
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1995,2
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1997,3
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1998,1
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,1999,8
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2000,6
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2001,3
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2002,5
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2003,38
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2004,3
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2005,53
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2006,5
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2009,1
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2010,6
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2011,2
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2012,7
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2013,2
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2014,2
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2015,10
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2016,3
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2017,6
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2018,2
90058,"Maywood city, Commerce city, Bell city, Los Angeles city, Huntington Park city, Florence-Graham CDP, Vernon city",Los Angeles County,2020,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1987,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1990,13
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1991,27
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1992,9
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1993,6
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1994,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1997,2
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,1999,3
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2000,4
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2001,4
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2003,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2004,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2005,20
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2006,7
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2007,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2008,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2010,3
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2011,2
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2012,1
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2015,3
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2017,2
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2018,11
90210,"Los Angeles city, Beverly Hills city, West Hollywood city",Los Angeles County,2020,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1987,2
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1990,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1991,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1992,10
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1993,19
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1994,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1995,5
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1998,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,1999,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2000,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2002,4
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2003,71
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2004,7
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2005,39
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2006,3
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2009,3
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2010,8
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2011,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2012,10
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2013,4
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2014,5
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2015,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2016,7
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2017,3
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2018,3
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2019,1
90221,"Compton city, Paramount city, East Rancho Dominguez CDP",Los Angeles County,2020,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1987,3
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1988,5
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1991,5
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1992,14
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1993,8
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1994,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1995,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1997,4
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1998,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,1999,3
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2000,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2001,3
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2003,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2004,6
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2005,7
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2006,8
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2007,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2010,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2012,3
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2013,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2014,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2015,6
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2016,2
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2017,1
90230,"Los Angeles city, Culver City city, Ladera Heights CDP",Los Angeles County,2018,5
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1987,3
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1991,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1992,16
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1993,18
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1995,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1997,2
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,1998,3
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2000,4
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2001,6
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2002,2
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2003,47
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2004,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2005,26
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2006,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2008,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2009,4
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2010,4
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2012,2
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2015,2
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2016,6
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2017,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2018,1
90247,"Los Angeles city, West Athens CDP, Gardena city, Torrance city",Los Angeles County,2020,4
90265,"Malibu city, Topanga CDP",Los Angeles County,1987,2
90265,"Malibu city, Topanga CDP",Los Angeles County,1989,8
90265,"Malibu city, Topanga CDP",Los Angeles County,1990,18
90265,"Malibu city, Topanga CDP",Los Angeles County,1991,2
90265,"Malibu city, Topanga CDP",Los Angeles County,1992,12
90265,"Malibu city, Topanga CDP",Los Angeles County,1993,5
90265,"Malibu city, Topanga CDP",Los Angeles County,1994,12
90265,"Malibu city, Topanga CDP",Los Angeles County,1995,1
90265,"Malibu city, Topanga CDP",Los Angeles County,1997,1
90265,"Malibu city, Topanga CDP",Los Angeles County,1998,157
90265,"Malibu city, Topanga CDP",Los Angeles County,2000,4
90265,"Malibu city, Topanga CDP",Los Angeles County,2001,1
90265,"Malibu city, Topanga CDP",Los Angeles County,2002,1
90265,"Malibu city, Topanga CDP",Los Angeles County,2003,8
90265,"Malibu city, Topanga CDP",Los Angeles County,2005,17
90265,"Malibu city, Topanga CDP",Los Angeles County,2006,1
90265,"Malibu city, Topanga CDP",Los Angeles County,2007,2
90265,"Malibu city, Topanga CDP",Los Angeles County,2008,3
90265,"Malibu city, Topanga CDP",Los Angeles County,2010,8
90265,"Malibu city, Topanga CDP",Los Angeles County,2011,11
90265,"Malibu city, Topanga CDP",Los Angeles County,2012,3
90265,"Malibu city, Topanga CDP",Los Angeles County,2015,8
90265,"Malibu city, Topanga CDP",Los Angeles County,2016,11
90265,"Malibu city, Topanga CDP",Los Angeles County,2017,2
90265,"Malibu city, Topanga CDP",Los Angeles County,2018,1
90266,Manhattan Beach city,Los Angeles County,1992,17
90266,Manhattan Beach city,Los Angeles County,1993,16
90266,Manhattan Beach city,Los Angeles County,1994,1
90266,Manhattan Beach city,Los Angeles County,1995,1
90266,Manhattan Beach city,Los Angeles County,1996,1
90266,Manhattan Beach city,Los Angeles County,1997,4
90266,Manhattan Beach city,Los Angeles County,1998,2
90266,Manhattan Beach city,Los Angeles County,1999,4
90266,Manhattan Beach city,Los Angeles County,2001,3
90266,Manhattan Beach city,Los Angeles County,2003,4
90266,Manhattan Beach city,Los Angeles County,2004,1
90266,Manhattan Beach city,Los Angeles County,2005,22
90266,Manhattan Beach city,Los Angeles County,2006,14
90266,Manhattan Beach city,Los Angeles County,2007,1
90266,Manhattan Beach city,Los Angeles County,2008,2
90266,Manhattan Beach city,Los Angeles County,2009,1
90266,Manhattan Beach city,Los Angeles County,2010,3
90266,Manhattan Beach city,Los Angeles County,2012,2
90266,Manhattan Beach city,Los Angeles County,2014,3
90266,Manhattan Beach city,Los Angeles County,2015,2
90266,Manhattan Beach city,Los Angeles County,2016,2
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1987,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1990,3
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1992,13
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1993,23
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1995,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1996,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,1998,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2000,2
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2001,2
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2003,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2004,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2005,22
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2006,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2008,2
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2009,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2010,3
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2012,1
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2014,3
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2015,7
90274,"Palos Verdes Estates city, Rancho Palos Verdes city, Rolling Hills Estates city, Rolling Hills city",Los Angeles County,2016,5
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1987,2
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1990,2
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1991,1
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1992,11
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1993,4
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1994,3
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1995,1
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1996,4
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1998,4
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,1999,2
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2000,1
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2004,5
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2005,21
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2006,3
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2007,1
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2010,7
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2011,2
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2012,1
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2015,11
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2016,2
90290,"Calabasas city, Los Angeles city, Malibu city, Topanga CDP",Los Angeles County,2018,10
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1987,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1988,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1991,4
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1992,6
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1993,16
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1994,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1995,9
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1996,2
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1997,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,1999,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2000,6
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2001,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2003,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2004,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2005,32
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2006,28
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2008,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2010,18
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2011,1
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2012,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2015,2
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2016,2
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2017,3
90638,"La Mirada city, South Whittier CDP",Los Angeles County,2020,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1987,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1988,4
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1991,5
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1992,4
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1993,8
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1994,8
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1995,9
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1996,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1997,3
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1998,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,1999,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,2000,11
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,2001,2
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,2003,1
90650,"Norwalk city, Downey city, Santa Fe Springs city",Los Angeles County,2004,2
